WIKIDATA,MS_FB,AREA,PERIMETER,WARDNUM,MUNIC,RC_NAME,MAYOR,MS_FB_PARE,NAME_EN
Q56043036,country:ca/csd:3521010/ward:10,72063951.78129998,39720.2263791,10,10,J. SPROVIERI,S. FENNELL,country:ca/csd:3521010,Ward 10
Q56043037,country:ca/csd:3521010/ward:9,17755858.6795,16950.4752462,9,10,J. SPROVIERI,S. FENNELL,country:ca/csd:3521010,Ward 9
Q56043038,country:ca/csd:3521010/ward:7,13126005.752700003,16965.8411363,7,10,S. HAMES / G. MILES,S. FENNELL,country:ca/csd:3521010,Ward 7
Q56043039,country:ca/csd:3521010/ward:2,18772365.69,18360.5217411,2,10,P. PALLESCHI,S. FENNELL,country:ca/csd:3521010,Ward 2
Q56043040,country:ca/csd:3521010/ward:8,21686653.612,22484.8072129,8,10,S. HAMES / G. MILES,S. FENNELL,country:ca/csd:3521010,Ward 8
Q56043041,country:ca/csd:3521010/ward:1,8562868.74057,11769.4061829,1,10,E. MOORE,S. FENNELL,country:ca/csd:3521010,Ward 1
Q56043042,country:ca/csd:3521010/ward:6,72957603.4584,38650.6555091,6,10,P. PALLESCHI,S. FENNELL,country:ca/csd:3521010,Ward 6
Q56043043,country:ca/csd:3521010/ward:3,25389777.6716,21298.8710262,3,10,J. SANDERSON,S. FENNELL,country:ca/csd:3521010,Ward 3
Q56043044,country:ca/csd:3521010/ward:5,8546963.85401,11754.1307591,5,10,E. MOORE,S. FENNELL,country:ca/csd:3521010,Ward 5
Q56043046,country:ca/csd:3521010/ward:4,10588797.4246,14956.93716,4,10,J. SANDERSON,S. FENNELL,country:ca/csd:3521010,Ward 4
