label,WIKIDATA,modified_d,ward_num,councillor,MS_FB,MS_FB_PARE
Ward 4 (Calgary),Q47455796,2016-05-03,4,,country:ca/csd:4806016/ward:4,country:ca/csd:4806016
Ward 11 (Calgary),Q47455803,2016-05-03,11,,country:ca/csd:4806016/ward:11,country:ca/csd:4806016
Ward 8 (Calgary),Q47455800,2016-05-03,8,,country:ca/csd:4806016/ward:8,country:ca/csd:4806016
Ward 2 (Calgary),Q47455793,2016-05-03,2,,country:ca/csd:4806016/ward:2,country:ca/csd:4806016
Ward 13 (Calgary),Q47455805,2016-05-03,13,,country:ca/csd:4806016/ward:13,country:ca/csd:4806016
Ward 6 (Calgary),Q47455798,2016-10-06,6,,country:ca/csd:4806016/ward:6,country:ca/csd:4806016
Ward 1 (Calgary),Q47455783,2016-05-03,1,,country:ca/csd:4806016/ward:1,country:ca/csd:4806016
Ward 12 (Calgary),Q47455804,2016-05-03,12,,country:ca/csd:4806016/ward:12,country:ca/csd:4806016
Ward 10 (Calgary),Q47455802,2016-05-03,10,,country:ca/csd:4806016/ward:10,country:ca/csd:4806016
Ward 3 (Calgary),Q47455795,2016-05-03,3,,country:ca/csd:4806016/ward:3,country:ca/csd:4806016
Ward 9 (Calgary),Q47455801,2016-05-03,9,,country:ca/csd:4806016/ward:9,country:ca/csd:4806016
Ward 5 (Calgary),Q47455797,2016-05-03,5,,country:ca/csd:4806016/ward:5,country:ca/csd:4806016
Ward 14 (Calgary),Q47455806,2016-05-03,14,,country:ca/csd:4806016/ward:14,country:ca/csd:4806016
Ward 7 (Calgary),Q47455799,2016-05-03,7,,country:ca/csd:4806016/ward:7,country:ca/csd:4806016
