OBJECTID,DIST_ID,DISTNAME,WIKIDATA,COUNCILLOR,FCODE,SOURCE,SACC,SDATE,SCH_BOARD,GLOBALID,AREA,LEN,MS_FB,MS_FB_PARE
1,4,Cole Harbour - Westphal,Q47490207,Lorelei Nicoll,DLBNMCDS,NSUARB,Interactive,2016-11-01T03:00:00.000Z,2,8b822ce7-de05-46be-855e-bab0fb93307c,36956472.399141997098923,34837.165875999999116,country:ca/csd:1209034/district:4,country:ca/csd:1209034
2,7,Halifax South Downtown,Q47490211,Waye Mason,DLBNMCDS,NSUARB,Interactive,2016-11-01T03:00:00.000Z,4,a53ddf77-20b0-4a91-8485-f77bf2b997a1,10768136.137474000453949,15231.069000999999844,country:ca/csd:1209034/district:7,country:ca/csd:1209034
3,6,Harbourview - Burnside - Dartmouth East,Q47490209,Tony Mancini,DLBNMCDS,NSUARB,Interactive,2016-11-01T03:00:00.000Z,3,a89a99f1-6657-4120-993b-e26e3206447a,44845167.700285002589226,36094.673354999998992,country:ca/csd:1209034/district:6,country:ca/csd:1209034
4,3,Dartmouth South - Eastern Passage,Q47490206,Bill Karsten,DLBNMCDS,NSUARB,Interactive,2016-11-01T03:00:00.000Z,2,442d055e-a020-4770-9874-3f240593de93,80406506.628037005662918,49788.648733000001812,country:ca/csd:1209034/district:3,country:ca/csd:1209034
5,11,Spryfield - Sambro Loop - Prospect Road,Q47490215,Steve Adams,DLBNMCDS,NSUARB,Interactive,2016-11-01T03:00:00.000Z,6,ebc28966-baf1-4614-a7b9-4717edad5438,573575802.831815004348755,108703.276586000007228,country:ca/csd:1209034/district:11,country:ca/csd:1209034
6,14,Middle/Upper Sackville - Beaver Bank - Lucasville,Q47490218,Lisa Blackburn,DLBNMCDS,NSUARB,Interactive,2016-11-01T03:00:00.000Z,8,7bc8ae66-4223-4674-bd0a-7fe0513d4288,156138033.831595987081528,73240.908106999995653,country:ca/csd:1209034/district:14,country:ca/csd:1209034
7,12,Timberlea - Beechville - Clayton Park - Wedgewood,Q47490216,Richard Zurawski,DLBNMCDS,NSUARB,Interactive,2016-11-01T03:00:00.000Z,6,1855610e-9df7-44c5-b887-6cf2c9d2cbc0,82136934.448355004191399,44377.176191999998991,country:ca/csd:1209034/district:12,country:ca/csd:1209034
8,2,Preston - Chezzetcook - Eastern Shore,Q47490205,David Hendsbee,DLBNMCDS,NSUARB,Interactive,2016-11-01T03:00:00.000Z,1,8d5b4265-b066-4d43-9990-2a4d6cb8aed0,3489915184.174849987030029,411824.155127000005450,country:ca/csd:1209034/district:2,country:ca/csd:1209034
9,10,Halifax - Bedford Basin West,Q47490214,Russell Walker,DLBNMCDS,NSUARB,Interactive,2016-11-01T03:00:00.000Z,5,ffe2b23e-1e36-4975-9630-f63b7732cf5f,15677450.876898000016809,21922.472492000000784,country:ca/csd:1209034/district:10,country:ca/csd:1209034
10,16,Bedford - Wentworth,Q47490221,Tim Outhit,DLBNMCDS,NSUARB,Interactive,2016-11-01T03:00:00.000Z,7,2d87a472-bd81-4d7e-9c2d-2df961f370a1,51439497.452973000705242,36739.899010000000999,country:ca/csd:1209034/district:16,country:ca/csd:1209034
11,15,Lower Sackville,Q47490219,Steve Craig,DLBNMCDS,NSUARB,Interactive,2016-11-01T03:00:00.000Z,8,8559447a-7b3f-429e-821c-30439e21f301,19701148.197438001632690,21695.456701999999495,country:ca/csd:1209034/district:15,country:ca/csd:1209034
12,1,Waverley - Fall River - Musquodoboit Valley,Q47490204,Steve Streatch,DLBNMCDS,NSUARB,Interactive,2016-11-01T03:00:00.000Z,1,6b4859a9-231d-468e-8579-8cc53840389f,1830235955.076679944992065,389218.690135999990162,country:ca/csd:1209034/district:1,country:ca/csd:1209034
13,13,Hammonds Plains - St. Margarets,Q47490217,Matt Whitman,DLBNMCDS,NSUARB,Interactive,2016-11-01T03:00:00.000Z,7,cc3e2735-094d-4514-b924-3042542ba8b5,787320572.762459993362427,173261.214112999994541,country:ca/csd:1209034/district:13,country:ca/csd:1209034
14,9,Halifax West Armdale,Q47490213,Shawn Cleary,DLBNMCDS,NSUARB,Interactive,2016-11-01T03:00:00.000Z,4,63c056bd-47fc-4bfd-90f0-4844f32bdf06,13036921.837619999423623,22574.224827999998524,country:ca/csd:1209034/district:9,country:ca/csd:1209034
15,8,Halifax Peninsula North,Q47490212,Lindell Smith,DLBNMCDS,NSUARB,Interactive,2016-11-01T03:00:00.000Z,5,66345944-fa7f-4a84-94b9-36115a2b679e,8744632.471604999154806,13069.681237000000692,country:ca/csd:1209034/district:8,country:ca/csd:1209034
16,5,Dartmouth Centre,Q47490208,Sam Austin,DLBNMCDS,NSUARB,Interactive,2016-11-01T03:00:00.000Z,3,f07af10f-659f-432c-9b54-f95a9a9947cf,14850071.105383999645710,16682.292084000000614,country:ca/csd:1209034/district:5,country:ca/csd:1209034
