COUNT,WARDS,Recid,MS_FB,MS_FB_PARE,WIKIDATA,NAME_EN
28,10,1,country:ca/csd:3539036/ward:10,country:ca/csd:3539036,Q56118135,Ward 10
37,11,2,country:ca/csd:3539036/ward:11,country:ca/csd:3539036,Q56118136,Ward 11
29,12,3,country:ca/csd:3539036/ward:12,country:ca/csd:3539036,Q56118137,Ward 12
35,13,4,country:ca/csd:3539036/ward:13,country:ca/csd:3539036,Q56118138,Ward 13
34,14,5,country:ca/csd:3539036/ward:14,country:ca/csd:3539036,Q56118139,Ward 14
26,2,6,country:ca/csd:3539036/ward:2,country:ca/csd:3539036,Q56118140,Ward 2
22,3,7,country:ca/csd:3539036/ward:3,country:ca/csd:3539036,Q56118141,Ward 3
35,4,8,country:ca/csd:3539036/ward:4,country:ca/csd:3539036,Q56118142,Ward 4
26,5,9,country:ca/csd:3539036/ward:5,country:ca/csd:3539036,Q56118143,Ward 5
26,6,10,country:ca/csd:3539036/ward:6,country:ca/csd:3539036,Q56118147,Ward 6
24,7,11,country:ca/csd:3539036/ward:7,country:ca/csd:3539036,Q56118149,Ward 7
24,8,12,country:ca/csd:3539036/ward:8,country:ca/csd:3539036,Q56118150,Ward 8
23,9,13,country:ca/csd:3539036/ward:9,country:ca/csd:3539036,Q56118151,Ward 9
35,1,14,country:ca/csd:3539036/ward:1,country:ca/csd:3539036,Q56118152,Ward 1
