ID,NOM,WIKIDATA,PARTI,CONSEILLER,ARRONDISSE,DATE_DEBUT,DATE_FIN,SUPERFICIE,PERIMETRE,MS_FB,MS_FB_PARE
1,Cap-aux-Diamants,Q47490342,Démocratie Québec,Jean Rousseau,La Cité-Limoilou,2017-11-05,2021-11-07,5395809.559999999590218,13059.100000000000364,country:ca/csd:2423027/district:1,country:ca/csd:2423027
2,Montcalm–Saint-Sacrement,Q47490343,,Yvon Bussières,La Cité-Limoilou,2017-11-05,2021-11-07,2706824.850000000093132,10322.120000000000800,country:ca/csd:2423027/district:2,country:ca/csd:2423027
3,Saint-Roch–Saint-Sauveur,Q47490344,Équipe Labaume,Pierre-Luc Lachance,La Cité-Limoilou,2017-11-05,2021-11-07,4868064.299999999813735,14252.500000000000000,country:ca/csd:2423027/district:3,country:ca/csd:2423027
4,Limoilou,Q47490345,Équipe Labaume,Suzanne Verreault,La Cité-Limoilou,2017-11-05,2021-11-07,3986729.379999999888241,10213.510000000000218,country:ca/csd:2423027/district:4,country:ca/csd:2423027
5,Maizerets-Lairet,Q47490346,Équipe Labaume,Geneviève Hamelin,La Cité-Limoilou,2017-11-05,2021-11-07,6509649.379999999888241,13625.899999999999636,country:ca/csd:2423027/district:5,country:ca/csd:2423027
6,Vanier-Duberger,Q47493667,Équipe Labaume,Alicia Despins,Les Rivières,2017-11-05,2021-11-07,11202500.630000000819564,18630.299999999999272,country:ca/csd:2423027/district:6,country:ca/csd:2423027
7,Neufchâtel-Lebourgneuf,Q47490348,Équipe Labaume,Jonatan Julien,Les Rivières,2017-11-05,2021-11-07,17731670.730000000447035,18829.860000000000582,country:ca/csd:2423027/district:7,country:ca/csd:2423027
8,Les Saules,Q47493684,Équipe Labaume,Dominique Tanguay,Les Rivières,2017-11-05,2021-11-07,20228778.109999999403954,30081.139999999999418,country:ca/csd:2423027/district:8,country:ca/csd:2423027
9,Saint-Louis–Sillery,Q47490350,Équipe Labaume,Émilie Villeneuve,Sainte-Foy–Sillery–Cap-Rouge,2017-11-05,2021-11-07,13680477.609999999403954,22919.869999999998981,country:ca/csd:2423027/district:9,country:ca/csd:2423027
10,Le Plateau,Q47490351,Équipe Labaume,Rémy Normand,Sainte-Foy–Sillery–Cap-Rouge,2017-11-05,2021-11-07,12125936.720000000670552,16430.400000000001455,country:ca/csd:2423027/district:10,country:ca/csd:2423027
11,La Pointe-de-Sainte-Foy,Q47490352,Équipe Labaume,Anne Corriveau,Sainte-Foy–Sillery–Cap-Rouge,2017-11-05,2021-11-07,10068954.710000000894070,15932.770000000000437,country:ca/csd:2423027/district:11,country:ca/csd:2423027
12,Cap-Rouge–Laurentien,Q47490353,Équipe Labaume,Marie-Josée Savard,Sainte-Foy–Sillery–Cap-Rouge,2017-11-05,2021-11-07,60867148.909999996423721,45687.279999999998836,country:ca/csd:2423027/district:12,country:ca/csd:2423027
13,Saint-Rodrigue,Q47490355,Équipe Labaume,Vincent Dufresne,Charlesbourg,2017-11-05,2021-11-07,6001963.559999999590218,10489.870000000000800,country:ca/csd:2423027/district:13,country:ca/csd:2423027
14,Louis -XIV,Q47490357,Équipe Labaume,Michelle Morin-Doyle,Charlesbourg,2017-11-05,2021-11-07,13602216.490000000223517,18997.069999999999709,country:ca/csd:2423027/district:14,country:ca/csd:2423027
15,Les Monts,Q47490358,Équipe Labaume,Patrick Voyer,Charlesbourg,2017-11-05,2021-11-07,46872693.939999997615814,32952.250000000000000,country:ca/csd:2423027/district:15,country:ca/csd:2423027
16,Sainte-Thérèse-de-Lisieux,Q47490359,Québec 21 Équipe JF Gosselin,Jean-François Gosselin,Beauport,2017-11-05,2021-11-07,48564887.520000003278255,29187.229999999999563,country:ca/csd:2423027/district:16,country:ca/csd:2423027
17,La Chute-Montmorency–Seigneurial,Q47490360,Québec 21 Équipe JF Gosselin,Stevens Mélançons,Beauport,2017-11-05,2021-11-07,16498285.650000000372529,23440.889999999999418,country:ca/csd:2423027/district:17,country:ca/csd:2423027
18,Robert-Giffard,Q47490361,Équipe Labaume,Jérémie Emould,Beauport,2017-11-05,2021-11-07,13834706.929999999701977,22415.549999999999272,country:ca/csd:2423027/district:18,country:ca/csd:2423027
19,Lac-Saint-Charles–Saint-Émile,Q47490362,Équipe Labaume,Steeve Verret,La Haute-Saint-Charles,2017-11-05,2021-11-07,61374637.060000002384186,56181.470000000001164,country:ca/csd:2423027/district:19,country:ca/csd:2423027
20,Loretteville-Les Châtels,Q47490363,Équipe Labaume,Raymond Dion,La Haute-Saint-Charles,2017-11-05,2021-11-07,17314414.129999998956919,28356.450000000000728,country:ca/csd:2423027/district:20,country:ca/csd:2423027
21,Val-Bélair,Q47490364,Équipe Labaume,Sylvain Légaré,La Haute-Saint-Charles,2017-11-05,2021-11-07,74227879.189999997615814,43352.699999999997090,country:ca/csd:2423027/district:21,country:ca/csd:2423027
