ID,MS_FB,MS_FB_PARE,Name,WIKIDATA
ED/01,country:ca/territory:yt/ed-tmp:01,country:ca/territory:yt,Copperbelt North,Q1840816
ED/02,country:ca/territory:yt/ed-tmp:02,country:ca/territory:yt,Copperbelt South,Q1841547
ED/03,country:ca/territory:yt/ed-tmp:03,country:ca/territory:yt,Klondike,Q3197896
ED/04,country:ca/territory:yt/ed-tmp:04,country:ca/territory:yt,Kluane,Q3197911
ED/05,country:ca/territory:yt/ed-tmp:05,country:ca/territory:yt,Lake Laberge,Q3215001
ED/06,country:ca/territory:yt/ed-tmp:06,country:ca/territory:yt,Mayo Tatchun,Q3302995
ED/07,country:ca/territory:yt/ed-tmp:07,country:ca/territory:yt,Mount Lorne - Southern Lakes,Q1842800
ED/08,country:ca/territory:yt/ed-tmp:08,country:ca/territory:yt,Mountainview,Q1841558
ED/09,country:ca/territory:yt/ed-tmp:09,country:ca/territory:yt,Pelly Nisutlin,Q3374511
ED/10,country:ca/territory:yt/ed-tmp:10,country:ca/territory:yt,Porter Creek Centre,Q3399235
ED/11,country:ca/territory:yt/ed-tmp:11,country:ca/territory:yt,Porter Creek North,Q3399237
ED/12,country:ca/territory:yt/ed-tmp:12,country:ca/territory:yt,Porter Creek South,Q3399238
ED/13,country:ca/territory:yt/ed-tmp:13,country:ca/territory:yt,Riverdale North,Q3433505
ED/14,country:ca/territory:yt/ed-tmp:14,country:ca/territory:yt,Riverdale South,Q3433502
ED/15,country:ca/territory:yt/ed-tmp:15,country:ca/territory:yt,Takhini Kopper King,Q1842118
ED/16,country:ca/territory:yt/ed-tmp:16,country:ca/territory:yt,Vuntut Gwitchin,Q3563849
ED/17,country:ca/territory:yt/ed-tmp:17,country:ca/territory:yt,Watson Lake,Q7974835
ED/18,country:ca/territory:yt/ed-tmp:18,country:ca/territory:yt,Whitehorse Centre,Q3567803
ED/19,country:ca/territory:yt/ed-tmp:19,country:ca/territory:yt,Whitehorse West,Q3567804
